name,description,salary_from,salary_to,salary_currency,experience,employer_name,schedule_label,employment_label,country_name,role_name,skills,hard_skills,soft_skills,mbti
Стажер отдела продаж,"Что нужно знать и уметь: - Активность, коммуникабельность, желание развиваться, амбициозность - Желание много зарабатывать (&quot;потолка&quot; по зарплате нет) Что мы предлагаем: - обучение и наставничество - трудоустройство согласно ТК РФ - з/п &quot;БЕЛАЯ&quot;: оклад 21500 + % (от 30000 на руки) - 5-дневка, c 9 до 18 Адреса вакансии: Проспект Мира, 91 Переулок Афонтовский, 7",30000,50000,RUR,0,Стив и Бартон,Полный день,Стажировка,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Коммуникативная грамотность",[Продажи],[Коммуникативная грамотность],ESTP
PR-менеджер,"&quot;Издательский дом &quot;Парадигма&quot; – универсальное PR-агентство, обладающее полным комплексом профессиональных компетенций. Компания основана в январе 2004 года группой журналистов, дизайнеров и специалистов в области маркетинговых коммуникаций. Агентство имеет много крупных клиентов и заказчиков в различных сферах и осуществляет достаточно широкий спектр услуг. Обязанности:   Разработка и реализация PR-кампаний;   Ведение соцсетей;   Написание пресс-релизов;   Подготовка текстов выступлений, докладов, поздравительных открыток и т.д.;   Подготовка сценарных планов мероприятий;   Подготовка техзаданий контрагентам;   Проведение пресс-конференций, мероприятий с блогерами, ответы на запросы, работа с критическими замечаниями;   Написание сценариев радио- и видеороликов;  Ведение мониторинга.  Требования:   Высшее образование (PR, филология, журналистика);   Опыт работы в сфере PR, СМИ;   Знания и умения в сфере SMM;   Стрессоустойчивость, креативность;   Аналитические способности;   Умение четко и ярко формулировать мысли;   Наличие портфолио.   Условия:   Интересная работа с интересными людьми;   Комфортный офис с бесплатным кофе (ост. Площадь Свободы);   Официальное трудоустройство, социальный пакет по ТК РФ;   Заработная плата выплачивается без задержек, 2 раза в месяц;   График работы 5/2 с.09.00ч. до 18.00ч.",50000,60000,RUR,3-6,"Парадигма, Издательский дом",Полный день,Полная занятость,Россия,PR-менеджер,"Креативное мышление, Навыки написания пресс-релизов, Работа в команде, Управление проектами","[Навыки написания пресс-релизов, Управление проектами]","[Креативное мышление, Работа в команде]",ESTJ
Юрисконсульт,"Обязанности: полное юридическое сопровождение деятельности торговой компании (юрист в единственном числе), в том числе: правовая защита интересов компании; обеспечение соблюдения законности хозяйственной деятельности Общества: договорная работа (проверка контрагентов, минимизация рисков, оценка тендерной документации); претензионная и исковая работа; корпоративное право; разработка локальных нормативных актов; выполнение иных поручений руководителя. Требования: высшее профессиональное (юридическое) образование ; опыт работы по специальности не менее 6 лет (на производственном или предприятии оптовой торговли - не менее 4 лет); опыт сопровождения внешнеэкономической деятельности; умение организовать рабочий процесс и выстроить приоритеты; коммуникабельность; готовность искать нестандартные решения; внимательность; ответственность; желание развиваться. Знание английского языка будет Вашим преимуществом. Условия: 90 000 рублей (за вычетом налогов) + обсуждается индивидуально на собеседовании; оформление в соответствии с требованиями ТК РФ; стабильная работа в развивающейся компании; возможность реализации интересных проектов; пятидневная рабочая неделя, с 09.00 до 17.30; современный бизнес-центр, комфортабельный офис; дружный, профессиональный коллектив; в офисе - чай, кофе; развозка от ж/д станции Стрельна, для работников оплата парковки на территории бизнес-центра; полный рабочий день; на территории работодателя.",90000,100000,RUR,6-,Бумсервис,Полный день,Полная занятость,Россия,Юрисконсульт,"Взыскание задолженности, Коммуникативная грамотность, Внимательность",[Взыскание задолженности],"[Коммуникативная грамотность, Внимательность]",INFJ
Мерчандайзер мобильный,"Компания ITM ищет сотрудника на позицию мобильного мерчандайзера с функциями торгового агента.Наш Клиент - Крупная табачная компания. Мы предлагаем:  Работу в стабильной компании по территории: г. Сургут (период занятости 2 месяца Июль и Август); График работы: 5/2, с 9 до 18 ч, выходные суббота и воскресенье; Праздничные дни – выходные; Уровень заработной платы: 39 750 рублей на испытательном сроке, далее поэтапное повышение до 42 750 рублей (сумма указана после вычета налогов) + компенсация проезда 4 200 рублей (топливная карта). Выплата заработной платы 2 раза в месяц, на карту любого банка без задержек; Обучение всем стандартам работы с наставником, по территории, а также на электронной платформе обучения; Возможность карьерного роста не только внутри команды, но и в целом на проекте; Для работы предоставляется гаджет с оплачиваемой корпоративной сим-картой; Официальное трудоустройство по ТК РФ после прохождения стажировки (3 дня); Работа в дружной команде под началом экспертов с возможностью профессионального развития.  Что входит в задачи:  Посещение торговых точек по маршруту - до 6 магазинов в день (локальные и федеральные сети - Пятерочки, Перекрестки, Магниты, К&amp;Б, Монетки); Выкладка продукции по планограмме компании; Контроль наличия товара и актуальности ценников, работа с заказом; Размещение рекламных материалов; Поддержка контактов с персоналом магазинов; Отчетность по итогу работы.  Вакансия подойдет, если:  Есть опыт работы мерчандайзером или торговым представителем; Для кандидатов, без опыта работы, которым интересно общение с людьми и динамичность в работе; Готовность к разъездному характеру работы; Наличие личной медицинской книжки или готовность оформить. У Вас опрятный внешний вид, энергичность, исполнительность, коммуникабельность, организованность, ответственность и пунктуальность.",39750,42150,RUR,0,ITM,Полный день,Полная занятость,Россия,Мерчандайзер,"Коммуникативная грамотность, Мерчандайзинг, Мерчандайзинг, Мерчандайзинг, Мерчандайзинг, Работа в команде, Настройка, монтаж и эксплуатация локальной сети доступа, Организация и контроль промо-акций","[Мерчандайзинг, Мерчандайзинг, Мерчандайзинг, Мерчандайзинг, Настройка, монтаж и эксплуатация локальной сети доступа, Организация и контроль промо-акций]","[Коммуникативная грамотность, Работа в команде]",ESFP
Менеджер по продажам (Удаленно),"Обязанности:  Прозвон теплой базы и холодной базы с предложением услуг рекламного агентства; Базовое представление о сайтах и методах продвижения; Обработка входящих обращений; Работа в CRM Bitrix24: работа с лидами, сделками, задачами; Составление коммерческих предложений; Постановка задач отделу медиапланирования.  Требования:  Грамотная речь и умение находить общий язык с людьми; Опыт в продажах услуг (большой плюс, если услуги рекламные); Целеустремленность и настойчивость; Высокая степень стрессоустойчивости и готовность возразить на отказ.  Условия:  Зарплата &quot;без потолка&quot; чётко и в срок, аванс+премия; Трудоустройство по ГПХ на первый месяц, далее по ТК РФ; Оклад 10 000 рублей + 10% с продажи, средний чек 40 000 рублей, совокупный доход от 50 000 рублей с первого месяца; Корпоративная связь; Молодое и лояльное руководство, поощряющее креативность; Перспективы роста до руководителя отдела продаж в течение полугода.",20000,60000,RUR,1-3,Веб-студия iReactor,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Microsoft PowerPoint, Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Самоорганизованность, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Работа в команде, Коммуникативная грамотность","[Microsoft PowerPoint, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Самоорганизованность, Работа в команде, Коммуникативная грамотность]",ESTP
Менеджер по продажам,"Мы ищем энергичного Менеджера по продажам в видеопродакшен, который будет отвечать за обработку клиентов.У нас очень большой входящий трафик и нынешнего штата не хватает.Вашей задачей будет работа со входящим траффиком и доведением его до сделки (продажи) Условия:  Оклад + % от продаж. Честная и прозрачная система; Необходимая инфраструктура – рабочее место дома, ноутбук и наушник с микрофоном Развитая корпоративная культура: амбициозные цели компании, дружный коллектив, забота о сотрудниках, постоянное корпоративное обучение; совместный выездной отдых Возможности развиваться как в профессиональной области, так и двигаться вверх по карьерной лестнице.  Обязанности:  Поиск новых клиентов; Управление базой существующих клиентов и увеличение её; Работа с CRM и электронной почтой для управления клиентскими отношениями; Ответы на входящие телефонные звонки и заявки с сайта.  Требования:  Опыт работы в продажах b2b; Знание минимальных основ маркетинга; Понимание Продукта (рекламные видеоролики); Настойчивость, дисциплинированность, самостоятельность, аккуратность и организованность; Грамотная устная и письменная речь, умение создавать и проводить презентации в PowerPoint; Знание ПК, офисных приложений, CRM; Готовность и способность к обучению, самообучению; Клиентоориентированность, эмпатия, коммуникабельность; Умение работать в команде на общий результат.  Если вы любите работать в команде, заниматься творчеством, общаться с людьми и умеете находить общий язык, то эта работа для вас!",65000,272500,RUR,1-3,Maked,Удаленная работа,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Базовая инструментальная грамотность, Коммуникативная грамотность, Клиентоориентированность, Целеустремленность и работоспособность, Работа в команде, Коммуникативная грамотность","[Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов]","[Базовая инструментальная грамотность, Коммуникативная грамотность, Клиентоориентированность, Целеустремленность и работоспособность, Работа в команде, Коммуникативная грамотность]",ENTP
"Media Buyer / Менеджер рекламного отдела, закупки","Media Connect Group - российская коммуникационная группа с представительствами в КНР и СНГ.Наши сотрудники – это эксперты рекламного рынка со среднем стажем от 10 летМы реализуем комплексные уникальные решения, что позволяют брендам кратно увеличивать продажи Если ты амбициозен, открыт ко всему новому и есть невероятная тяга познавать многогранный рынок рекламы – мы ждем именно тебя, с нами ты сможешь добиться профессионального и финансового роста.Сейчас мы находимся в активном поиске менеджер отдела закупок  Обязанности:- day to day коммуникация с партнерами- мониторинг рынка рекламы (поиск новых партнеров, ценовой мониторинг, альтернативы в закупках)- ведение переговоров по выгодным для компании условиям сотрудничества, запрос ценовых предложений- подготовка смет на основании полученных вводных (медиапланирование), верстка КП- участие в тендерных процедурах, анализ документации- закупка рекламных медиа в московском регионе и по России- ведение и координация нескольких проектов одновременно: мониторинг процесса запуска, качественного исполнения, подготовка отчетов для клиентов по проведенным проектам- работа с БД в 1С- соблюдение принятых в компании стандартов работы с партнерами- взаимодействие со всеми подразделениями компании Требования:- навыки тайм-менеджмента, настойчивость, ответственность, усидчивость и внимательность- умение работать в режиме многозадачности- стрессоустойчивость и оптимизм- высокий уровень коммуникации и умение работать в команде- желание профессионально расти и обучаться новому- умение анализировать данные, хорошая память, внимательность- владение MS Office, Excel, PowerPoint на уверенном уровне Опыт работы в рекламном направлении будет преимуществом Условия:- 5/2, с 9.00 до 18.00, обед – час (работа в другом графике обсуждается)- работа в комфортном офисе, 5 мин пешком от ж/д ст. Мытищи- оформление по ТК РФ- творческая атмосфера и дружный коллектив- корпоративные праздники и тимбилдинг- менторство от опытных специалистов компании- ДМС- оплата труда 40 000 Р + %",40000,100000,RUR,0,Media Connect Group,Полный день,Полная занятость,Россия,Менеджер по закупкам,"1С: Документооборот, Анализ рынка, Базовая инструментальная грамотность, Коммуникативная грамотность, Анализ рынка","[1С: Документооборот, Анализ рынка, Анализ рынка]","[Базовая инструментальная грамотность, Коммуникативная грамотность]",ENTJ
Менеджер по работе с клиентами,"Компания «Градиент» - это компания, которая каждый день создает брендированную упаковку и поставляет оборудование для производственных предприятий по всей России. Наши клиенты – это компании, которые открывают цеха по производству полуфабрикатов и другой продукции или уже действующие предприятия, которые хотят автоматизировать производство. Мы постоянно расширяем нашу продуктовую линейку. С каждым месяцем клиентов становится все больше и больше, в связи с чем мы расширяем команду и ищем менеджера по работе с действующими клиентами. Что нужно делать? Сопровождать клиентов, с которыми уже заключен договор. Выстраивать долгосрочные отношения. Помогать Клиентам решить их задачи. Обеспечивать клиентский сервис на высоком уровне. -- Помощь в выборе необходимой упаковки и разработке макетов, совместная работа с дизайнером. Запуск заказа в производство. Оперативные ответы на вопросы технического характера по оборудованию и пакетам в чате, почте и по телефону + рекомендации по эффективному выбору. -- Отправка заказа ТК на адрес клиента, сбор обратной связи. -- Решение спорных ситуаций. -- Знакомство клиента с новыми продуктами компании, отправка образцов. -- Контроль оплат. -- Продажа сопутствующих товаров и услуг, позволяющих лучше решить задачу клиента.-- Оформление кейсов и отзывов.Результат вашей работы: довольный клиент, который решает свои задачи и регулярно заказывает наши продукты.   Требования: В первую очередь рассматриваются кандидаты с опытом работы в продажах B2B. Важна скорость реакции. Грамотная устная речь. Умение вести диалог на уровне первых лиц и топ-менеджеров компаний. Задавать правильные вопросы, выхватывать суть и находить нужное решение. Умение объяснить технические нюансы доступным языком. Энергичность и позитивный настрой. Способность действовать на высоких скоростях и в режиме многозадачности.   Условия: -- Возможность расширить свой кругозор, погрузившись в разные сферы бизнеса-- Полный рабочий день, с 9.00 до 18.00 мск, 5/2, пятница с 9 до 17.00-- Оклад 20 000 руб. + % от валовой прибыли -- Средний суммарный доход при регулярном выполнении плановых показателей - 50 000 руб. и выше-- Возможности карьерного развития -- Оформление в штат, все выплаты официальные В сопроводительном письме обязательно укажите, какие ваши личные качества, навыки и опыт, на ваш взгляд, помогут в работе на данной позиции.",30000,70000,RUR,1-3,Градиент,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность","[Продажи, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов]",[Коммуникативная грамотность],ENFP
Менеджер по продажам,"Медиахолдинг &quot;СВЕЖИЙ ВЕТЕР&quot; Лучшее предприятие отрасли 2020 года! Эксклюзивный представитель. Топовый состав радиостанций в 8 городах России: Тверь, Астрахань, Брянск, Волгоград, Казань, Новосибирск, Саранск, Самара.Медиахолдинг полного цикла. 10 радиостанций в Тверском регионе - более 75% покрытия радио рынка в Твери. Это команда профессионалов, широкие возможности размещения прямой и нестандартной рекламы на топовых радиостациях в городах вещания.В числе наших ресурсов самые рейтинговые радиостанции Твери:  Европа Плюс Авторадио Дорожное радио Тверь и Тверская область Ретро FM Радио Дача Love Radio Радио 7 на семи холмах Energy Новое радио Monte Carlo область  В связи с расширением отдела продаж, приглашаем на работу менеджера по продажам в г. Тверь: активных людей, с желанием зарабатывать и развиваться в направлении маркетинга и рекламы. Условия:  Готовая клиентская база Общение с клиентами на уровне первых лиц компании Заработная плата от 35 000 руб.: оклад + % с продаж График работы: 5/2 с 9.00 до 18.00, пятница с 9:00 до 17:00 Оформление по ТК РФ, оплачиваемый отпуск, больничный лист Собственный комфортабельный офис в центре города Стабильная и интересная работа Корпоративное такси и мобильная связь за счёт компании Обучение Дружный коллектив  Обязанности:  Работа с готовой клиентской базой + поиск и привлечение новых клиентов Ведение коммерческих переговоров с клиентами на уровне первых лиц компании (звонки, встречи, электронная переписка) Медиапланирование - формирование коммерческих предложений в соответствии с маркетинговой стратегией компании Выполнение поставленных задач Контроль дебиторской задолженности Участие в разработке и реализации промо-сейлз акций и проектов, связанных с деятельностью радиостанций  Требования:  Базовые знания и навыки основных этапов и технологии продаж Презентабельный внешний вид и грамотная речь Образование: среднее профессиональное / высшее Коммуникабельность, обучаемость, здоровые амбиции Уверенный пользователь ПК: CRM, Microsoft Word, Excel+",45000,70000,RUR,0,Медиахолдинг Свежий ветер,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Подготовка коммерческих предложений, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Работа в команде, Коммуникативная грамотность","[Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Подготовка коммерческих предложений, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Работа в команде, Коммуникативная грамотность]",ESTP
Офис-менеджер,"Обязанности:  Работа с текущей клиентской базой Поиск и привлечение новых клиентов Обработка входящих звонков и приём клиентов в офисе выставление счетов и актов выполненных работ в 1С  Требования:  Владение ПК, знание стандартного пакета офисных программ Грамотная устная и письменная речь Внимательность к выполняемым задачами ответственность за их выполнение Умение работать в режиме многозадачности знание 1С  Условия:  Официальное трудоустройство Комфортное рабочее место Испытательный срок 2 месяца",25000,30000,RUR,1-3,Арт-Информ,Полный день,Полная занятость,Россия,Офис-менеджер,"Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Базовая инструментальная грамотность, Техническая поддержка пользователей, Коммуникативная грамотность, Базовые знания ПК","[Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Техническая поддержка пользователей, Базовые знания ПК]","[Базовая инструментальная грамотность, Коммуникативная грамотность]",ESFJ
Начальник производства наружной рекламы,"Конкурс на вакансию открыт до 10 марта. Мы - рекламно-производственная компания &quot;АУРУМ&quot; (14 лет на рынке наружной рекламы СФО), имеем собственное производство с современным парком рекламного оборудования и монтажными бригадами... Мы работаем с банками: ВТБ, Газпромбанк, Альфа-банк и др., с федеральными сетями: RBT.RU, Галамарт, Белмаркет, Магнит, Леран и др., салонами красоты, барбершопами, бутиками и т.д . В связи с активным развитием и расширением производства требуется Начальник производства наружной рекламы Что Вы получите:   Стабильную, конкурентную заработную плату (оклад + % без потолка в начислениях)   Оплата труда 2 раза в месяц   Прозрачная система мотивации с возможностью постоянного контроля своих показателей.   График работы пн-пт. 9.00-18.00   Работу в 10 минутах от метро Заельцовская   Современное рабочее место   Возможность карьерного и личного роста   Дружный, позитивный коллектив   Чем нужно заниматься:   Организация работы производственных участков (сборка, сварка, фрезер, печать)   Контроль правильности технических заданий (изготовление и монтаж рекламных конструкций, фрезер, плоттер, сварка и проч.)   Контроль соответствия стоимости изделий сметной себестоимости   Заказ материалов   Особым преимуществом для Вас будет:   Опыт успешного управления производственным участком штатом не менее 10 человек   Отличное знание материалов для наружной рекламы и их обработки   Пользователь компьютера,Windows‚ MS Office‚ Corel Draw   И теперь, если Вы внимательно прочли данную вакансию и решили, что хотите с нами работать, напишите в отклике &quot; я хочу работать в ГК Аурум&quot;, так мы поймем, что Вы внимательный кандидат.",60000,120000,RUR,1-3,ГК Аурум,Полный день,Полная занятость,Россия,Начальник производства,"Целеустремленность и работоспособность, Позитивное мышление, Умение принимать решения, Управление производством",[Управление производством],"[Целеустремленность и работоспособность, Позитивное мышление, Умение принимать решения]",ESTJ
Бухгалтер (специалист отдела финансовой деятельности),"Требования: - наличие высшего образования (экономическое, финансы и кредит, бухгалтерский учет, анализ и аудит и т.д.); - опыт ведения учёта в бюджетной организации. Обязанности: - работа в информационных системах: Государственная интегрированная информационная система «Электронный бюджет»; СУФД портал; Единая информационная система в сфере закупок (ЕИС); Электронная торговая площадка для проведения государственных и корпоративных закупок, а также коммерческих закупок частных компаний и имущественных торгов (Росэлторг); Единый агрегатор торговли «Березка»;- размещение в ЕИС информации об исполнении контрактов, формирование сведений о бюджетных и денежных обязательствах, а также формирование распоряжений о совершении казначейских платежей;- осуществление учета на забалансовых и балансовых счетах (оприходование, списание и проч.);- осуществление начислений, учет, контроль за правильностью исчисления, полнотой и своевременностью осуществления платежей в бюджет, работа с лицевыми счетами (СУФД портал);- осуществление работы по расчетам с подотчетными лицами, проверка и принятие к учету подтверждающих командировочные расходы документов;- проведение инвентаризации товарно-материальных ценностей, расчетов с поставщиками и подрядчиками, дебиторской и кредиторской задолженности и проч.;- составление и оформление служебных документов, приказов, писем, отчетов, справок по вопросам, отнесенным к компетенции отдела;- осуществление контроля сроков исполнения документов, контроля за правильностью оформления проектов распорядительных документов. Условия: - государственная гражданская служба  - 100% белая оплата труда( надбавка за особые условия гражданской службы, ежемесячное денежное поощрение, надбавка за выслугу лет, надбавка за классный чин) + система премирования за выполнение особо важных и сложных заданий ; - возможность получения дополнительного профессионального образования - повышение квалификации - 5-дневная рабочая неделя с 9.00 до 18.00; - ежегодный оплачиваемый отпуск от 33 до 43 календарных дней; Собеседование не является конкурсной процедурой (проводится для разъяснения условий прохождения государственной гражданской службы, должностных обязанностей и размеров денежного содержания)",24000,48000,RUR,3-6,"Росалкогольрегулирование, Межрегиональное управление по Приволжскому федеральному округ",Полный день,Полная занятость,Россия,Экономист,"1С: Документооборот, Финансовый анализ, Финансовый аудит, Коммуникативная грамотность, 1С, Базовые знания ПК, Проведение инвентаризаций, Учет товарно-материальных ценностей, Ведение бухгалтерского учета, Разработка сметной документации, Финансовая отчетность, Самоорганизованность, Бюджетирование","[1С: Документооборот, Финансовый анализ, Финансовый аудит, 1С, Базовые знания ПК, Проведение инвентаризаций, Учет товарно-материальных ценностей, Ведение бухгалтерского учета, Разработка сметной документации, Финансовая отчетность, Бюджетирование]","[Коммуникативная грамотность, Самоорганизованность]",ESTJ
Мобильный агент,"Обязанности: — оформление денежных кредитов; —консультация клиентов  привлечение клиентов  Требования: —Среднее и высшее образование; — Опыт работы в банке — Знание казахского и русского языка Условия:  Заработная плата+бонусы Перспектива профессионального,карьерного роста и финансового роста Режим работы 6/1 с 09:00 до 18:00. суббота короткий день ( работа не в офисе ) Работа в престижной компании",120000,300000,KZT,1-3,Медиа Вышка,Полный день,Полная занятость,Казахстан,Финансовый менеджер,"1С: Управление нашей фирмой, Самоорганизованность, Работа в команде",[1С: Управление нашей фирмой],"[Самоорганизованность, Работа в команде]",ESTJ
